2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   4. call_user_func_array() /web/g/gfdesign.cz/subdomains/admin/funkce.php:4493, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   5. Funkce->GenerovaniAdminObsah() /web/g/gfdesign.cz/subdomains/admin/funkce.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   6. Funkce->AdminObsah() /web/g/gfdesign.cz/subdomains/admin/funkce.php:5682, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   7. Funkce->AdministraceObsahu() /web/g/gfdesign.cz/subdomains/admin/funkce.php:636, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   8. Funkce->AdminUvodniWebInfo() /web/g/gfdesign.cz/subdomains/admin/funkce.php:1005, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Warning:  fread(): Length parameter must be greater than 0 in /web/g/gfdesign.cz/subdomains/admin/funkce.php on line 872, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Stack trace:, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   1. {main}() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   2. Layout->__toString() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   3. Funkce->NactiFunkci() /web/g/gfdesign.cz/subdomains/admin/index.php:109, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   4. call_user_func_array() /web/g/gfdesign.cz/subdomains/admin/funkce.php:4493, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   5. Funkce->GenerovaniAdminObsah() /web/g/gfdesign.cz/subdomains/admin/funkce.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   6. Funkce->AdminObsah() /web/g/gfdesign.cz/subdomains/admin/funkce.php:5682, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   7. Funkce->AdministraceObsahu() /web/g/gfdesign.cz/subdomains/admin/funkce.php:636, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   8. Funkce->AdminUvodniNovinky() /web/g/gfdesign.cz/subdomains/admin/funkce.php:1006, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   9. fread() /web/g/gfdesign.cz/subdomains/admin/funkce.php:872, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Warning:  fread(): Length parameter must be greater than 0 in /web/g/gfdesign.cz/subdomains/admin/funkce.php on line 5891, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Stack trace:, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   1. {main}() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   2. Layout->__toString() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   3. Funkce->NactiFunkci() /web/g/gfdesign.cz/subdomains/admin/index.php:110, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   4. call_user_func_array() /web/g/gfdesign.cz/subdomains/admin/funkce.php:4493, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   5. Funkce->CasAktualizace() /web/g/gfdesign.cz/subdomains/admin/funkce.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   6. fread() /web/g/gfdesign.cz/subdomains/admin/funkce.php:5891, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Notice:  Trying to get property of non-object in /web/g/gfdesign.cz/subdomains/admin/funkce.php on line 5902, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Stack trace:, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   1. {main}() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   2. Layout->__toString() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   3. Funkce->NactiFunkci() /web/g/gfdesign.cz/subdomains/admin/index.php:110, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   4. call_user_func_array() /web/g/gfdesign.cz/subdomains/admin/funkce.php:4493, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   5. Funkce->CasAktualizace() /web/g/gfdesign.cz/subdomains/admin/funkce.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Notice:  Trying to get property of non-object in /web/g/gfdesign.cz/subdomains/admin/funkce.php on line 5902, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP Stack trace:, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   1. {main}() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   2. Layout->__toString() /web/g/gfdesign.cz/subdomains/admin/index.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   3. Funkce->NactiFunkci() /web/g/gfdesign.cz/subdomains/admin/index.php:110, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   4. call_user_func_array() /web/g/gfdesign.cz/subdomains/admin/funkce.php:4493, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
2011-01-07T09:19:42+01:00 <local5.err> web1 httpd.peruser[9061]: [error] [client 91.207.188.86] PHP   5. Funkce->CasAktualizace() /web/g/gfdesign.cz/subdomains/admin/funkce.php:0, referer: http://admin.gfdesign.cz/?action=$ad&modul=funkce_listlog
